rlc  d          CB02   2 
rlc  e          CB03   2 
rlc  h          CB04   2 
rlc  l          CB05   2 
rlca            07     1 
rld             ED6F   2 
rr   (hl)       CB1E   2 
rr   (ix*)      DDCB1E 4 
rr   (iy*)      FDCB1E 4 
rr   a          CB1F   2 
rr   b          CB18   2 
rr   c          CB19   2 
rr   d          CB1A   2 
rr   e          CB1B   2 
rr   h          CB1C   2 
rr   l          CB1D   2 
rra             1F     1 
rrc  (hl)       CB0E   2 
rrc  (ix*)      DDCB0E 4 
rrc  (iy*)      FDCB0E 4 
rrc  a          CB0F   2 
rrc  b          CB08   2 
rrc  c          CB09   2 
rrc  d          CB0A   2 
rrc  e          CB0B   2 
rrc  h          CB0C   2 
rrc  l          CB0D   2 
rrca            0F     1 
rrd             ED67   2 
rst  00h        C7     1 
rst  08h        CF     1 
rst  10h        D7     1 
rst  18h        DF     1 
rst  20h        E7     1 
rst  28h        EF     1 
rst  30h        F7     1 
sbc  a, (ix*)   DD9E   3 
sbc  a, (iy*)   FD9E   3 
sbc  a, (hl)    9E     1 
sbc  a, a       9F     1 
sbc  a, b       98     1 
sbc  a, c       99     1 
sbc  a, d       9A     1 
sbc  a, e       9B     1 
sbc  a, h       9C     1 
sbc  a, l       9D     1 
sbc  hl, bc     ED42   2 
sbc  hl, de     ED52   2 
sbc  hl, hl     ED62   2 
sbc  hl, sp     ED72   2 
sbc  a,*        DE     2 
scf             37     1 
sub  (hl)       96     1 
sub  a          97     1 
sub  b          90     1 
sub  c          91     1 
sub  d          92     1 
sub  e          93     1 
sub  h          94     1 
sub  l          95     1 
xor  (ix*)      DDAE   3 
xor  (iy*)      FDAE   3 
xor  (hl)       AE     1 
xor  c          A9     1 
xor  d          AA     1 
xor  e          AB     1 
xor  h          AC     1 
xor  l          AD     1 
adc  a, (ix*)   DD8E   3 
adc  a, (iy*)   FD8E   3 
adc  a, (hl)    8E     1 
adc  a, a       8F     1 
adc  a, b       88     1 
adc  a, c       89     1 
adc  a, d       8A     1 
adc  a, e       8B     1 
adc  a, h       8C     1 
adc  a, l       8D     1 
adc  a,*        CE     2 
adc  hl, bc     ED4A   2 
adc  hl, de     ED5A   2 
adc  hl, hl     ED6A   2 
adc  hl, sp     ED7A   2 
add  a, (ix*)   DD86   3 
add  a, (iy*)   FD86   3 
add  ix, bc     DD09   2 
add  ix, de     DD19   2 
add  ix, ix     DD29   2 
add  ix, sp     DD39   2 
add  iy, bc     FD09   2 
add  iy, de     FD19   2 
add  iy, iy     FD29   2 
add  iy, sp     FD39   2 
and  (ix*)      DDA6   3 
and  (iy*)      FDA6   3 
bit  0, (hl)    CB46   2 
bit  1, (hl)    CB4E   2 
bit  2, (hl)    CB56   2 
bit  3, (hl)    CB5E   2 
bit  4, (hl)    CB66   2 
bit  5, (hl)    CB6E   2 
bit  6, (hl)    CB76   2 
bit  7, (hl)    CB7E   2 
bit  0, (ix*)   DDCB46 4 
bit  1, (ix*)   DDCB4E 4 
bit  2, (ix*)   DDCB56 4 
bit  3, (ix*)   DDCB5E 4 
bit  4, (ix*)   DDCB66 4 
bit  5, (ix*)   DDCB6E 4 
bit  6, (ix*)   DDCB76 4 
bit  7, (ix*)   DDCB7E 4 
bit  0, (iy*)   FDCB46 4 
bit  1, (iy*)   FDCB4E 4 
bit  2, (iy*)   FDCB56 4 
bit  3, (iy*)   FDCB5E 4 
bit  4, (iy*)   FDCB66 4 
bit  5, (iy*)   FDCB6E 4 
bit  6, (iy*)   FDCB76 4 
bit  7, (iy*)   FDCB7E 4 
bit  0, a       CB47   2 
bit  1, a       CB4F   2 
bit  2, a       CB57   2 
bit  3, a       CB5F   2 
bit  4, a       CB67   2 
bit  5, a       CB6F   2 
bit  6, a       CB77   2 
bit  7, a       CB7F   2 
bit  0, b       CB40   2 
bit  1, b       CB48   2 
bit  2, b       CB50   2 
bit  3, b       CB58   2 
bit  4, b       CB60   2 
bit  5, b       CB68   2 
bit  6, b       CB70   2 
bit  7, b       CB78   2 
bit  0, c       CB41   2 
bit  1, c       CB49   2 
bit  2, c       CB51   2 
bit  3, c       CB59   2 
bit  4, c       CB61   2 
bit  5, c       CB69   2 
bit  6, c       CB71   2 
bit  7, c       CB79   2 
bit  0, d       CB42   2 
bit  1, d       CB4A   2 
bit  2, d       CB52   2 
bit  3, d       CB5A   2 
bit  4, d       CB62   2 
bit  5, d       CB6A   2 
bit  6, d       CB72   2 
bit  7, d       CB7A   2 
bit  0, e       CB43   2 
bit  1, e       CB4B   2 
bit  2, e       CB53   2 
bit  3, e       CB5B   2 
bit  4, e       CB63   2 
bit  5, e       CB6B   2 
bit  6, e       CB73   2 
bit  7, e       CB7B   2 
bit  0, h       CB44   2 
bit  1, h       CB4C   2 
bit  2, h       CB54   2 
bit  3, h       CB5C   2 
bit  4, h       CB64   2 
bit  5, h       CB6C   2 
bit  6, h       CB74   2 
bit  7, h       CB7C   2 
bit  0, l       CB45   2 
bit  1, l       CB4D   2 
bit  2, l       CB55   2 
bit  3, l       CB5D   2 
bit  4, l       CB65   2 
bit  5, l       CB6D   2 
bit  6, l       CB75   2 
bit  7, l       CB7D   2 
ex   (sp), hl   E3     1 
ex   (sp), ix   DDE3   2 
